YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1961,-5.08,-0.28,6.43,12.38,12.53,18.67,18.58,19.04,15.53,11.33,6.71,-1.40,-0.12,10.45,18.76,11.19,10.07
1962,-3.29,-2.98,1.06,10.48,14.37,16.23,17.60,19.84,14.19,9.78,7.67,-4.62,-2.56,8.64,17.89,10.55,8.63
1963,-9.19,-1.68,1.56,9.54,14.43,17.99,20.15,20.77,16.41,9.68,7.35,-3.10,-5.16,8.51,19.64,11.15,8.53
1964,-9.20,-4.58,2.80,9.51,12.36,19.48,18.18,17.07,13.95,10.90,4.84,0.55,-5.63,8.22,18.24,9.90,7.68
1965,-2.31,-7.70,3.83,7.25,13.13,17.57,18.61,16.60,16.40,8.78,3.19,0.98,-3.15,8.07,17.59,9.46,7.99
1966,-6.48,4.91,4.50,11.42,13.66,16.00,18.83,18.63,14.27,13.86,5.04,-0.63,-0.20,9.86,17.82,11.06,9.63
1967,-6.40,-1.69,5.29,9.45,14.50,15.95,19.50,19.19,16.00,11.66,4.64,-2.14,-2.91,9.75,18.21,10.77,8.96
1968,-4.93,1.86,3.77,11.95,16.29,18.23,17.86,16.78,14.96,8.62,6.59,-2.83,-1.74,10.67,17.62,10.06,9.15
1969,-8.08,-0.80,2.88,8.09,16.05,16.36,17.49,18.21,15.07,8.93,7.23,0.36,-3.90,9.01,17.35,10.41,8.22
1970,-0.98,-0.97,3.93,9.82,12.27,16.97,19.46,18.00,14.50,7.90,5.17,-0.20,-0.53,8.67,18.14,9.19,8.87
1971,-0.59,0.66,2.94,9.58,15.83,16.22,18.12,19.78,12.67,7.92,4.16,0.45,-0.04,9.45,18.04,8.25,8.92
1972,-2.27,2.25,5.81,11.39,14.05,17.81,19.44,17.61,12.23,7.31,4.37,-2.19,0.14,10.42,18.29,7.97,9.20
1973,-2.32,1.52,1.99,9.53,14.69,17.15,18.74,18.24,16.71,9.24,0.21,-2.92,-1.00,8.74,18.04,8.72,8.63
1974,-4.33,3.30,6.13,7.10,12.73,15.73,17.80,19.33,15.96,9.00,2.99,-0.33,-1.32,8.65,17.62,9.32,8.57
1975,-0.52,-2.38,7.20,9.61,15.03,17.63,18.42,17.61,15.60,8.97,0.65,-2.63,-1.08,10.61,17.89,8.41,8.96
1976,-3.10,-4.57,1.54,9.68,13.28,15.41,18.50,15.33,13.68,10.30,4.88,-1.21,-3.43,8.17,16.41,9.62,7.69
1977,-1.07,3.78,6.94,8.35,13.96,16.67,18.35,17.66,12.78,9.32,5.56,-4.52,0.50,9.75,17.56,9.22,9.26
1978,-2.91,0.23,5.95,8.84,12.36,16.26,16.83,17.06,12.84,8.99,0.38,0.07,-2.40,9.05,16.72,7.40,7.69
1979,-3.75,0.72,6.39,8.09,14.81,19.55,16.62,17.15,15.79,8.05,6.43,1.99,-0.99,9.76,17.77,10.09,9.16
1980,-7.50,-0.67,3.99,7.51,12.66,16.88,18.06,17.59,13.46,10.66,4.17,-2.23,-2.06,8.05,17.51,9.43,8.23
1981,-4.95,-2.25,6.64,7.95,13.09,18.99,18.17,17.53,15.57,11.32,1.57,-0.15,-3.14,9.23,18.23,9.49,8.45
