YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2004,-29.27,-31.23,-27.78,-19.27,-8.66,-0.78,0.75,2.77,-1.45,-12.46,-22.79,-28.58,-28.20,-18.57,0.91,-12.23,-14.52
2005,-29.40,-28.67,-27.33,-19.91,-8.00,1.94,5.51,2.95,0.69,-6.64,-17.73,-24.56,-28.88,-18.41,3.47,-7.89,-12.93
2006,-25.98,-27.31,-27.53,-22.59,-9.40,0.54,2.85,2.30,-1.64,-10.02,-18.45,-25.16,-25.95,-19.84,1.90,-10.04,-13.48
2007,-30.53,-28.25,-26.81,-13.64,-6.18,0.71,4.13,5.36,2.06,-7.62,-16.54,-23.69,-27.98,-15.54,3.40,-7.37,-11.87
2008,-28.39,-30.73,-25.34,-20.59,-6.19,-1.62,1.92,5.49,-0.73,-7.40,-21.23,-26.55,-27.60,-17.37,1.93,-9.79,-13.21
2009,-25.76,-32.58,-27.91,-19.14,-8.39,-0.06,2.37,3.03,-0.78,-8.96,-16.95,-24.54,-28.30,-18.48,1.78,-8.90,-13.47
2010,-28.54,-27.41,-26.09,-17.10,-5.21,0.76,5.43,5.16,1.32,-7.10,-16.84,-25.09,-26.83,-16.13,3.78,-7.54,-11.68
2011,-25.95,-28.45,-20.69,-15.70,-7.64,1.09,5.56,4.46,-0.09,-5.96,-19.00,-25.10,-26.50,-14.68,3.70,-8.35,-11.45
2012,-26.94,-26.97,-28.38,-17.48,-6.40,1.12,3.94,3.90,0.69,-6.95,-15.21,-25.57,-26.34,-17.42,2.99,-7.16,-11.98
2013,-27.85,-33.98,-27.00,-16.04,-7.30,-0.10,3.65,3.19,-0.78,-9.03,-19.74,-22.81,-29.13,-16.78,2.25,-9.85,-13.38
2014,-27.69,-24.55,-22.79,-13.55,-7.00,0.00,4.53,5.01,0.55,-7.29,-21.80,-26.45,-25.02,-14.45,3.18,-9.51,-11.45
2015,-29.64,-26.84,-24.40,-19.55,-9.25,0.90,4.30,2.70,0.55,-7.10,-18.90,-27.35,-27.64,-17.73,2.63,-8.48,-12.81
2016,-25.05,-26.50,-27.60,-18.20,-6.15,1.25,2.10,2.40,0.45,-5.25,-14.90,-25.20,-26.30,-17.32,1.92,-6.57,-12.07
2017,-26.40,-27.15,-19.50,-14.35,-8.80,-0.30,1.20,2.05,-1.35,-10.50,-17.35,-23.60,-26.25,-14.22,0.98,-9.73,-12.30
2018,-27.85,-22.65,-28.50,-14.95,-7.85,2.30,3.75,6.25,1.90,-3.45,-18.66,-23.70,-24.70,-17.10,4.10,-6.74,-11.11
2019,-29.45,-30.60,-24.10,-14.50,-7.05,5.85,4.30,6.30,1.60,-4.39,-17.25,-24.10,-27.92,-15.22,5.48,-6.68,-11.08
2020,-28.05,-24.55,-23.95,-15.45,-4.79,1.87,5.08,3.07,4.13,-3.14,-12.30,-21.01,-25.57,-14.73,3.34,-3.77,-10.18
2021,-27.90,-24.55,999.90,-18.62,-5.45,2.94,4.75,4.80,0.70,-8.37,-18.00,-26.85,-24.49,-16.35,4.16,-8.56,-11.31
2022,-24.72,-23.90,-23.15,-19.30,-6.75,0.85,3.85,4.10,0.80,-5.75,-20.00,-24.45,-25.16,-16.40,2.93,-8.32,-11.73
2023,-30.30,-28.40,-27.60,-19.00,-9.05,1.20,1.90,4.30,0.95,-6.60,-18.35,-22.35,-27.72,-18.55,2.47,-8.00,-12.95
2024,-26.00,999.90,-21.35,999.90,-5.90,4.55,4.98,2.85,0.65,-7.25,-17.65,-21.50,-24.74,-14.30,4.13,-8.08,-10.75
2025,-28.10,-25.25,-25.55,-17.20,-6.35,-0.40,5.45,3.00,999.90,999.90,999.90,999.90,-24.95,-16.37,2.68,999.90,-11.86
